Request,Sample,Batch,Parameter List,Parameter,Data
R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation Severity,3.50
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation,Y
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Separation Severity,1.76
R-20210521-00024,S-210521-00386,,Lumisizer - VM,Lumisizer Onset of Major Separation,185
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Severity,9.05
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Onset of Major Separation,215
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation,Y
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210521-00026,S-210521-00432,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Onset of Major Separation,100
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Severity,5.02
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation,Y
R-20210524-00013,S-210524-00378,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separation,N
R-20210524-00022,S-210524-00508,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Severity,10.40
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Onset of Major Separation,50
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation,Y
R-20210525-00045,S-210525-00806,,Lumisizer - VM,Lumisizer Separation Location,Bottom
